Argus v3 evolution (17-gene reduced) — run v3, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen    1 | fit   2.083 | CAGR   72.3% | DD  34.7% | Calmar   2.08 | trades   84 | ✓
Gen 1056 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1061 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1066 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1071 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1076 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1081 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1086 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1091 | fit  13.776 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1096 | fit  13.776 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1101 | fit  13.776 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1106 | fit  13.776 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1111 | fit  13.776 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1116 | fit  13.776 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1121 | fit  13.776 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1126 | fit  13.776 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1131 | fit  13.776 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1136 | fit  13.776 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1141 | fit  13.776 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
